route_id,route_name,route_description,reihenfolge,station_id,aktiviert,kommentar
A,Regulär,"Für gutes Wetter und entspanntes Timing.",1,brunch,JA,Start in Luzern
A,Regulär,"Für gutes Wetter und entspanntes Timing.",2,luzern,JA,Outdoor-Station vor Aeschbach
A,Regulär,"Für gutes Wetter und entspanntes Timing.",3,aeschbach,JA,Aeschbach + persönliches Easter Egg
A,Regulär,"Für gutes Wetter und entspanntes Timing.",4,see_sarnen,JA,Optional; nur bei Zeitpuffer
A,Regulär,"Für gutes Wetter und entspanntes Timing.",5,stoeckalp,JA,Reise-Checkpoint
A,Regulär,"Für gutes Wetter und entspanntes Timing.",6,melchsee_frutt,JA,Letzte aktive Aufgabe
A,Regulär,"Für gutes Wetter und entspanntes Timing.",7,bonistock,JA,Ruhiges Finale
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",1,brunch,JA,Start in Luzern
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",2,aeschbach,JA,Aeschbach als wetterfeste Station
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",3,stoeckalp,JA,Direktere Anreise
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",4,melchsee_frutt,JA,Kurze Frutt-Aufgabe
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",5,bonistock,JA,Ruhiges Finale
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",6,see_sarnen,NEIN,Nur bei spontanem Puffer
B,Kurz/Schlechtwetter,"Für Regen, Verspätung oder weniger Puffer.",7,luzern_indoor,NEIN,"Reserve, falls Aeschbach entfällt"
